Start	Ende	Type	Property	Counter:long
0	529	C	Property	1
0	17	B	Property	2
325	0	A	Property	3
0	496	C	Property	4
0	337	B	Property	5
992	0	A	Property	6
366	0	C	Property	7
0	890	B	Property	8
370	0	A	Property	9
1	343	C	Property	10
568	1	B	Property	11
184	1	A	Property	12
36	1	C	Property	13
788	1	B	Property	14
1	759	A	Property	15
310	1	C	Property	16
1	242	B	Property	17
1	351	A	Property	18
2	908	B	Property	19
313	2	A	Property	20
2	470	C	Property	21
2	519	B	Property	22
2	46	A	Property	23
230	3	C	Property	24
3	274	B	Property	25
363	3	A	Property	26
3	375	C	Property	27
765	3	B	Property	28
783	3	A	Property	29
702	3	C	Property	30
604	3	B	Property	31
541	3	A	Property	32
599	4	C	Property	33
237	4	B	Property	34
4	391	A	Property	35
57	4	C	Property	36
4	856	B	Property	37
4	904	A	Property	38
216	5	A	Property	39
914	6	B	Property	40
783	6	A	Property	41
7	788	A	Property	42
664	7	C	Property	43
7	626	B	Property	44
7	248	A	Property	45
8	19	C	Property	46
8	467	B	Property	47
247	8	A	Property	48
9	651	A	Property	49
663	9	C	Property	50
80	9	B	Property	51
9	151	A	Property	52
195	9	C	Property	53
9	534	B	Property	54
51	9	A	Property	55
927	10	A	Property	56
639	10	C	Property	57
10	84	B	Property	58
10	801	A	Property	59
37	10	C	Property	60
10	213	B	Property	61
92	10	A	Property	62
575	10	C	Property	63
10	167	B	Property	64
10	605	A	Property	65
885	11	A	Property	66
132	11	C	Property	67
11	270	B	Property	68
257	11	A	Property	69
11	902	C	Property	70
11	896	B	Property	71
11	242	A	Property	72
11	877	C	Property	73
575	11	B	Property	74
11	694	A	Property	75
572	12	B	Property	76
921	12	A	Property	77
12	316	C	Property	78
267	12	B	Property	79
12	255	A	Property	80
187	12	C	Property	81
12	678	B	Property	82
12	391	A	Property	83
13	384	A	Property	84
211	13	C	Property	85
13	535	B	Property	86
317	13	A	Property	87
781	13	C	Property	88
685	13	B	Property	89
13	784	A	Property	90
13	723	C	Property	91
190	13	B	Property	92
548	13	A	Property	93
893	14	C	Property	94
14	142	B	Property	95
811	14	A	Property	96
88	14	C	Property	97
14	622	B	Property	98
965	14	A	Property	99
15	739	B	Property	100
110	15	A	Property	101
16	272	A	Property	102
639	16	C	Property	103
892	16	B	Property	104
16	509	A	Property	105
557	16	C	Property	106
588	16	B	Property	107
522	16	A	Property	108
16	811	C	Property	109
334	16	B	Property	110
64	16	A	Property	111
17	368	C	Property	112
265	17	B	Property	113
399	17	A	Property	114
17	614	C	Property	115
17	593	B	Property	116
17	401	A	Property	117
814	17	C	Property	118
17	17	B	Property	119
17	136	A	Property	120
170	18	A	Property	121
467	18	C	Property	122
18	679	B	Property	123
18	541	A	Property	124
436	18	C	Property	125
18	877	B	Property	126
18	47	A	Property	127
18	60	C	Property	128
677	18	B	Property	129
18	251	A	Property	130
19	301	B	Property	131
19	632	A	Property	132
847	19	C	Property	133
175	19	B	Property	134
593	19	A	Property	135
801	19	C	Property	136
661	19	B	Property	137
326	19	A	Property	138
38	20	C	Property	139
20	586	B	Property	140
610	20	A	Property	141
21	905	A	Property	142
921	21	C	Property	143
862	21	B	Property	144
21	304	A	Property	145
21	263	C	Property	146
21	304	B	Property	147
455	21	A	Property	148
269	21	C	Property	149
21	624	B	Property	150
597	21	A	Property	151
991	22	B	Property	152
22	927	A	Property	153
377	22	C	Property	154
22	43	B	Property	155
250	22	A	Property	156
23	224	B	Property	157
23	45	A	Property	158
314	24	B	Property	159
244	24	A	Property	160
83	25	C	Property	161
25	803	B	Property	162
631	25	A	Property	163
85	26	A	Property	164
152	26	C	Property	165
26	140	B	Property	166
26	681	A	Property	167
26	888	C	Property	168
26	714	B	Property	169
26	999	A	Property	170
26	851	C	Property	171
26	380	B	Property	172
714	26	A	Property	173
700	27	B	Property	174
643	27	A	Property	175
28	568	C	Property	176
28	983	B	Property	177
28	58	A	Property	178
917	29	A	Property	179
29	570	C	Property	180
675	29	B	Property	181
29	167	A	Property	182
698	29	C	Property	183
29	749	B	Property	184
29	484	A	Property	185
29	133	C	Property	186
29	111	B	Property	187
29	742	A	Property	188
58	30	B	Property	189
30	492	A	Property	190
30	81	C	Property	191
155	30	B	Property	192
170	30	A	Property	193
385	30	C	Property	194
930	30	B	Property	195
624	30	A	Property	196
474	31	B	Property	197
31	448	A	Property	198
263	31	C	Property	199
633	31	B	Property	200
31	261	A	Property	201
963	32	A	Property	202
710	32	C	Property	203
32	355	B	Property	204
32	712	A	Property	205
286	32	C	Property	206
933	32	B	Property	207
709	32	A	Property	208
50	33	A	Property	209
33	742	C	Property	210
385	33	B	Property	211
986	33	A	Property	212
621	33	C	Property	213
33	82	B	Property	214
33	534	A	Property	215
34	266	A	Property	216
509	34	C	Property	217
91	34	B	Property	218
454	34	A	Property	219
672	34	C	Property	220
34	207	B	Property	221
34	701	A	Property	222
775	34	C	Property	223
70	34	B	Property	224
198	34	A	Property	225
35	634	A	Property	226
35	587	C	Property	227
334	35	B	Property	228
35	991	A	Property	229
616	35	C	Property	230
35	798	B	Property	231
749	35	A	Property	232
486	36	B	Property	233
188	36	A	Property	234
36	789	C	Property	235
524	36	B	Property	236
895	36	A	Property	237
545	36	C	Property	238
684	36	B	Property	239
36	741	A	Property	240
37	748	B	Property	241
37	477	A	Property	242
37	489	C	Property	243
453	37	B	Property	244
37	67	A	Property	245
392	38	C	Property	246
38	254	B	Property	247
224	38	A	Property	248
38	646	C	Property	249
717	38	B	Property	250
787	38	A	Property	251
39	558	B	Property	252
82	39	A	Property	253
39	264	C	Property	254
39	130	B	Property	255
39	525	A	Property	256
810	40	C	Property	257
40	990	B	Property	258
40	106	A	Property	259
714	41	A	Property	260
42	332	B	Property	261
171	42	A	Property	262
42	521	C	Property	263
42	452	B	Property	264
42	952	A	Property	265
43	410	C	Property	266
364	43	B	Property	267
703	43	A	Property	268
88	43	C	Property	269
43	493	B	Property	270
249	43	A	Property	271
232	44	C	Property	272
44	889	B	Property	273
885	44	A	Property	274
444	45	A	Property	275
550	45	C	Property	276
227	45	B	Property	277
45	722	A	Property	278
45	126	C	Property	279
45	463	B	Property	280
261	45	A	Property	281
698	45	C	Property	282
595	45	B	Property	283
45	502	A	Property	284
580	46	B	Property	285
46	778	A	Property	286
551	47	B	Property	287
909	47	A	Property	288
488	47	C	Property	289
47	721	B	Property	290
47	268	A	Property	291
884	48	A	Property	292
265	48	C	Property	293
52	48	B	Property	294
48	260	A	Property	295
924	48	C	Property	296
858	48	B	Property	297
121	48	A	Property	298
49	278	C	Property	299
322	49	B	Property	300
49	222	A	Property	301
589	49	C	Property	302
510	49	B	Property	303
919	49	A	Property	304
49	101	C	Property	305
49	917	B	Property	306
49	377	A	Property	307
147	50	B	Property	308
50	538	A	Property	309
558	50	C	Property	310
50	620	B	Property	311
50	613	A	Property	312
50	532	C	Property	313
605	50	B	Property	314
50	522	A	Property	315
399	51	A	Property	316
52	754	C	Property	317
333	52	B	Property	318
52	431	A	Property	319
52	239	C	Property	320
52	508	B	Property	321
59	52	A	Property	322
730	53	C	Property	323
53	196	B	Property	324
640	53	A	Property	325
870	54	C	Property	326
897	54	B	Property	327
695	54	A	Property	328
708	54	C	Property	329
54	449	B	Property	330
489	54	A	Property	331
55	351	B	Property	332
473	55	A	Property	333
56	479	A	Property	334
768	56	C	Property	335
606	56	B	Property	336
826	56	A	Property	337
56	473	C	Property	338
781	56	B	Property	339
712	56	A	Property	340
888	56	C	Property	341
